dt,p,ql_m3_fact,qo_m3_fact,wc_fact,status,event,work_time
2018-04-06,42.90451918519,36.050828204707386,13.365797914364279,0.6292512937991527,В работе,,8.73333333333
2018-04-07,42.90451918519,36.42572160419936,14.556053063959489,0.6003908111382099,В работе,,8.73277777778
2018-04-08,42.90451918519,36.26761304445105,14.203817878342067,0.6083608297868048,В работе,,8.73416666667
2018-04-09,42.90451918519,35.656668292750474,14.74520004146384,0.5864672514997215,В работе,,8.84638888889
2018-04-10,42.90451918519,38.84252300716403,9.568534950496547,0.7536582536430049,В работе,,8.71722222222
2018-04-11,42.69290964341,34.0,14.3134684147795,0.5790156348594264,В работе,,8.71694444444
2018-04-12,42.69290964341,34.77583271292137,15.001784090807485,0.5686146694272143,В работе,,8.71666666667
2018-04-13,42.69290964341,34.575721200562796,14.152301841599737,0.5906867203287902,В работе,,8.72
2018-04-14,42.69290964341,35.16935980994325,14.699017173490265,0.5820504765248957,В работе,,8.73333333333
2018-04-15,42.69290964341,34.702206859057156,14.205159637692969,0.5906554388489713,В работе,,8.73305555556
2018-04-16,42.69290964341,35.010862619813395,14.881579515777073,0.5749439344760597,В работе,,8.73333333333
2018-04-17,43.60819284613,36.0,10.115613825983313,0.7190107270560191,В работе,,8.73333333333
2018-04-18,41.1976685239,35.16309430916773,15.428461491412364,0.5612314048428368,В работе,,8.73333333333
2018-04-19,41.1976685239,35.780132745248274,14.217177053906312,0.602651640363341,В работе,,8.73333333333
2018-04-20,41.1976685239,38.3811930228575,12.027312596608143,0.6866352593718125,В работе,,7.53277777778
2018-04-21,41.1976685239,35.19232767620801,15.576885028799344,0.5573783816712358,В работе,,8.73277777778
2018-04-22,41.1976685239,36.237804974217795,14.180771996203372,0.6086746422336397,В работе,,8.73333333333
2018-04-23,41.1976685239,36.99679681435284,15.240828313362973,0.5880500576890396,В работе,,8.73333333333
2018-04-24,41.1976685239,36.15943037235088,14.480541516548442,0.5995362380591893,В работе,,8.73138888889
2018-04-25,41.62069562214,36.0,11.29320619785459,0.6862998278373725,В работе,,8.73
2018-04-26,41.62069562214,37.00757602003494,13.941824329893958,0.6232710750267401,В работе,,8.71666666667
2018-04-27,41.62069562214,36.80905623963431,14.288079260575225,0.6118325021006522,В работе,,8.71666666667
2018-04-28,41.62069562214,35.72097925226724,14.423629174168468,0.5962140603059478,В работе,,8.71694444444
2018-04-29,41.62069562214,35.70181138237799,14.49368981682418,0.5940348891099094,В работе,,8.71888888889
